t,v_out
1.11562968e-05,1.64037891
1.12062968e-05,1.64037925
1.12562968e-05,1.64037959
1.13062968e-05,1.64037992
1.13562968e-05,1.64038024
1.14062968e-05,1.64038054
1.14562968e-05,1.64038082
1.15062968e-05,1.64038108
1.15562968e-05,1.64038131
1.16062968e-05,1.64038151
1.16562968e-05,1.64038168
1.17062968e-05,1.64038182
1.17562968e-05,1.64038193
1.18062968e-05,1.64038202
1.18562968e-05,1.64038207
1.19062968e-05,1.6403821
1.19562968e-05,1.64038211
1.20062968e-05,1.6403821
1.20562968e-05,1.64038207
1.21062968e-05,1.64038202
1.21562968e-05,1.64038197
1.22062968e-05,1.6403819
1.22562968e-05,1.64038182
1.23062968e-05,1.64038174
1.23562968e-05,1.64038166
1.24062968e-05,1.64038157
1.24562968e-05,1.64038149
1.25062968e-05,1.64038141
1.25562968e-05,1.64038133
1.26062968e-05,1.64038126
1.26562968e-05,1.6403812
1.27062968e-05,1.64038114
1.27562968e-05,1.64038109
1.28062968e-05,1.64038105
1.28562968e-05,1.64038101
1.29062968e-05,1.64038098
1.29562968e-05,1.64038096
1.30062968e-05,1.64038094
1.30562968e-05,1.64038093
1.31062968e-05,1.64038093
1.31562968e-05,1.64038093
1.32062968e-05,1.64038094
1.32562968e-05,1.64038095
1.33062968e-05,1.64038096
1.33562968e-05,1.64038098
1.34062968e-05,1.640381
1.34562968e-05,1.64038102
1.35062968e-05,1.64038104
1.35562968e-05,1.64038106
1.36062968e-05,1.64038108
1.36562968e-05,1.6403811
1.37062968e-05,1.64038112
1.37562968e-05,1.64038114
1.38062968e-05,1.64038116
1.38562968e-05,1.64038117
1.39062968e-05,1.64038118
1.39562968e-05,1.6403812
1.40062968e-05,1.6403812
1.40562968e-05,1.64038121
1.41062968e-05,1.64038122
1.41562968e-05,1.64038122
1.42062968e-05,1.64038122
1.42562968e-05,1.64038123
1.43062968e-05,1.64038123
1.43562968e-05,1.64038122
1.44062968e-05,1.64038122
1.44562968e-05,1.64038122
1.45062968e-05,1.64038121
1.45562968e-05,1.64038121
1.46062968e-05,1.6403812
1.46562968e-05,1.6403812
1.47062968e-05,1.64038119
1.47562968e-05,1.64038119
1.48062968e-05,1.64038118
1.48562968e-05,1.64038118
1.49062968e-05,1.64038117
1.49562968e-05,1.64038117
1.50062968e-05,1.64038117
1.50562968e-05,1.64038116
1.51062968e-05,1.64038116
1.51562968e-05,1.64038116
1.52062968e-05,1.64038116
1.52562968e-05,1.64038115
1.53062968e-05,1.64038115
1.53562968e-05,1.64038115
1.54062968e-05,1.64038115
1.54562968e-05,1.64038115
1.55062968e-05,1.64038115
1.55562968e-05,1.64038115
1.56062968e-05,1.64038115
1.56562968e-05,1.64038115
1.57062968e-05,1.64038116
1.57562968e-05,1.64038116
1.58062968e-05,1.64038116
1.58562968e-05,1.64038116
1.59062968e-05,1.64038116
1.59562968e-05,1.64038116
1.60062968e-05,1.64038116
1.60562968e-05,1.64038116
1.61062968e-05,1.64038117
1.61562968e-05,1.64038117
1.62062968e-05,1.64038117
1.62562968e-05,1.64038117
1.63062968e-05,1.64038117
1.63562968e-05,1.64038117
