va,vb,vc,v_int,v_out,ideal_int,ideal_out,err,int_err
-0.6,2.0999999999999996,1.0,-0.20057503,0.815620175,-0.19312570863535072,0.8243783361494995,-0.008758161149499566,-0.007449321364649264
-0.4,2.0999999999999996,1.0,-0.080210094,0.919607796,-0.07161729869373779,0.930887079352156,-0.011279283352156,-0.00859279530626221
-0.2,2.0999999999999996,1.0,0.0667117372,1.0646234,0.07679340834860471,1.0798189717630324,-0.015195571763032323,-0.010081671148604712
-1.66533454e-16,2.0999999999999996,1.0,0.246035537,1.2728663,0.25806265527062267,1.294419918313831,-0.021553618313830958,-0.012027118270622666
0.2,2.0999999999999996,1.0,0.464886446,1.58277972,0.47946541343079274,1.6152107014046313,-0.0324309814046313,-0.014578967430792733
0.4,2.0999999999999996,1.0,0.731947129,2.06681952,0.7498873529118932,2.1167615561564714,-0.0499420361564713,-0.017940223911893205
-1.0,2.5,1.0,-0.555114452,0.572680927,-0.5484112907027128,0.5778671444039064,-0.005186217403906457,-0.006703161297287208
-0.8,2.5,1.0,-0.474345617,0.620735226,-0.46696176775693354,0.6269040579025297,-0.006168831902529703,-0.007383849243066454
-0.6,2.5,1.0,-0.375743938,0.684831538,-0.3674790957801287,0.6924778023655794,-0.007646264365579469,-0.008264842219871282
-0.4,2.5,1.0,-0.255378999,0.772162962,-0.24597068583851578,0.7819451466558108,-0.009782184655810822,-0.009408313161484216
-0.2,2.5,1.0,-0.108457164,0.893957115,-0.09755997879617329,0.907047936280947,-0.013090821280947074,-0.01089718520382671
-1.66533454e-16,2.5,1.0,0.07086664,1.06886667,0.08370926812584467,1.0873127313836177,-0.018446061383617707,-0.012842628125844677
0.2,2.5,1.0,0.289717557,1.32919943,0.30511202628601475,1.35677698917989,-0.02757755917988991,-0.015394469286014734
0.4,2.5,1.0,0.556778251,1.7358664,0.5755339657671152,1.7780797071714356,-0.04221330717143568,-0.01875571476711524
-1.0,0.8999999999999999,1.5,0.471366407,1.18480395,0.4732399568292687,1.1997214041249094,-0.014917454124909302,-0.0018735498292687391
-0.8,0.8999999999999999,1.5,0.552135229,1.31837246,0.554689479775048,1.3359350527321963,-0.01756259273219629,-0.002554250775048006
-0.6,0.8999999999999999,1.5,0.650736891,1.4964857,0.6541721517518528,1.5180843429073343,-0.021598642907334265,-0.0034352607518528533
-0.4,0.8999999999999999,1.5,0.771101807,1.73908326,0.7756805616934658,1.7666047437135328,-0.027521483713532913,-0.004578754693465803
